sample_id,year,month,day,date,time,latitude,longitude,station_num,station_depth,sampling_depth,group,species,group_species,count,
1,2001,Dec,1,2001-12-01,,unknown,unknown,ST1,,1,Diatom,Thalassionema spp.,D-Thalassionema spp.,52,
2,2001,Dec,1,2001-12-01,,unknown,unknown,ST1,,1,Dinoflagellate,Gyrodinium,DF-Gyrodinium,113,
3,2001,Dec,1,2001-12-01,,unknown,unknown,ST1,,1,Dinoflagellate,Protoperidinium oblongum,DF-Protoperidinium oblongum,113,
4,2001,Dec,1,2001-12-01,,unknown,unknown,ST2,,1,Diatom,Coscinodiscus spp.,D-Coscinodiscus spp.,132,
5,2001,Dec,1,2001-12-01,,unknown,unknown,ST2,,1,Diatom,Navicula  spp.,D-Navicula  spp.,658,
6,2001,Dec,1,2001-12-01,,unknown,unknown,ST2,,1,Diatom,Rhizosolenia spp.,D-Rhizosolenia spp.,132,
7,2001,Dec,1,2001-12-01,,unknown,unknown,ST2,,1,Diatom,Skeletonema,D-Skeletonema,132,
8,2001,Dec,1,2001-12-01,,unknown,unknown,ST2,,1,Diatom,Thalassionema spp.,D-Thalassionema spp.,395,
9,2001,Dec,1,2001-12-01,,unknown,unknown,ST2,,1,Diatom,Thalassiosira spp.,D-Thalassiosira spp.,263,
10,2001,Dec,1,2001-12-01,,unknown,unknown,ST3,,1,Dinoflagellate,Gyrodinium spirale,DF-Gyrodinium spirale,737,
11,2001,Dec,1,2001-12-01,,unknown,unknown,ST4,,1,Diatom,Chaetoceros spp.,D-Chaetoceros spp.,212,
12,2001,Dec,1,2001-12-01,,unknown,unknown,ST4,,1,Diatom,Coscinodiscus spp.,D-Coscinodiscus spp.,106,
13,2001,Dec,1,2001-12-01,,unknown,unknown,ST4,,1,Dinoflagellate,Protoperidinium conicum,DF-Protoperidinium conicum,212,
14,2001,Dec,1,2001-12-01,,unknown,unknown,ST4,,1,Dinoflagellate,Protoperidinium oblongum,DF-Protoperidinium oblongum,212,
15,2001,Dec,1,2001-12-01,,unknown,unknown,ST5,,1,Diatom,Navicula  spp.,D-Navicula  spp.,454,
16,2001,Dec,1,2001-12-01,,unknown,unknown,ST5,,1,Dinoflagellate,Dinophysis miles,DF-Dinophysis miles,113,
17,2001,Dec,1,2001-12-01,,unknown,unknown,ST6,,1,Diatom,Coscinodiscus spp.,D-Coscinodiscus spp.,232,
18,2001,Dec,1,2001-12-01,,unknown,unknown,ST6,,1,Diatom,Navicula  spp.,D-Navicula  spp.,580,
19,2001,Dec,1,2001-12-01,,unknown,unknown,ST6,,1,Diatom,Pleurosigma spp.,D-Pleurosigma spp.,116,
20,2001,Dec,1,2001-12-01,,unknown,unknown,ST6,,1,Diatom,Pseudonitzschia spp.,D-Pseudonitzschia spp.,91094,
21,2001,Dec,1,2001-12-01,,unknown,unknown,ST6,,1,Diatom,Thalassionema spp.,D-Thalassionema spp.,116,
22,2001,Dec,1,2001-12-01,,unknown,unknown,ST6,,1,Dinoflagellate,Gyrodinium,DF-Gyrodinium,7543,
23,2001,Dec,1,2001-12-01,,unknown,unknown,ST6,,1,Dinoflagellate,Gyrodinium spirale,DF-Gyrodinium spirale,232,
24,2001,Dec,1,2001-12-01,,unknown,unknown,ST6,,1,Dinoflagellate,Prorocentrum micans,DF-Prorocentrum micans,232,
25,2001,Dec,1,2001-12-01,,unknown,unknown,ST6,,1,Dinoflagellate,Prorocentrum sigmoides,DF-Prorocentrum sigmoides,696,
26,2001,Dec,1,2001-12-01,,unknown,unknown,ST6,,1,Dinoflagellate,Protoperidinium spp.,DF-Protoperidinium spp.,696,
27,2001,Dec,1,2001-12-01,,unknown,unknown,ST7,,1,Diatom,Coscinodiscus spp.,D-Coscinodiscus spp.,112,
28,2001,Dec,1,2001-12-01,,unknown,unknown,ST7,,1,Diatom,Navicula  spp.,D-Navicula  spp.,336,
29,2001,Dec,1,2001-12-01,,unknown,unknown,ST7,,1,Diatom,Pseudonitzschia spp.,D-Pseudonitzschia spp.,13569,
30,2001,Dec,1,2001-12-01,,unknown,unknown,ST7,,1,Dinoflagellate,Gyrodinium,DF-Gyrodinium,561,
31,2001,Dec,1,2001-12-01,,unknown,unknown,ST7,,1,Dinoflagellate,Prorocentrum micans,DF-Prorocentrum micans,112,
32,2001,Dec,1,2001-12-01,,unknown,unknown,ST7,,1,Dinoflagellate,Protoperidinium spp.,DF-Protoperidinium spp.,112,
33,2002,Jan,1,2002-01-01,,unknown,unknown,ST1,,1,Diatom,Pleurosigma spp.,D-Pleurosigma spp.,384,
34,2002,Jan,1,2002-01-01,,unknown,unknown,ST1,,1,Diatom,Skeletonema,D-Skeletonema,36,
35,2002,Jan,1,2002-01-01,,unknown,unknown,ST1,,1,Dinoflagellate,Prorocentrum micans,DF-Prorocentrum micans,72,
36,2002,Jan,1,2002-01-01,,unknown,unknown,ST1,,1,Dinoflagellate,Prorocentrum minimum,DF-Prorocentrum minimum,154255,
37,2002,Jan,1,2002-01-01,,unknown,unknown,ST1,,1,Dinoflagellate,Protoperidinium pellucidum,DF-Protoperidinium pellucidum,36,
38,2002,Mar,1,2002-03-01,,unknown,unknown,ST2,,1,Dinoflagellate,Goniodoma,DF-Goniodoma,6,
39,2002,Mar,1,2002-03-01,,unknown,unknown,ST2,,1,Dinoflagellate,Gyrodinium spirale,DF-Gyrodinium spirale,18,
40,2002,Mar,1,2002-03-01,,unknown,unknown,ST4,,1,Dinoflagellate,Gymnodinium,DF-Gymnodinium,34,
41,2002,Mar,1,2002-03-01,,unknown,unknown,ST9,,1,Dinoflagellate,Protoperidinium pellucidum,DF-Protoperidinium pellucidum,5,
42,2002,Apr,1,2002-04-01,,unknown,unknown,ST2,,1,Diatom,Rhizosolenia spp.,D-Rhizosolenia spp.,3,
